"Class"	"Field"	"Label"	"Tooltip"	"Source"	"SourceDetail"	"Confidence"
"CmPossibility"	""	"Academic Domain"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=DomainTypes -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Academic Domains"	""	"tool-config"	"toolConfiguration.xml tool=domainTypeEdit + areaConfiguration.xml ownerClass=LexDb ownerField=DomainTypes"	"ambiguous"
"CmPossibility"	""	"Confidence Level"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=ConfidenceLevels -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Confidence Levels"	""	"tool-config"	"toolConfiguration.xml tool=confidenceEdit + areaConfiguration.xml ownerClass=LangProject ownerField=ConfidenceLevels"	"ambiguous"
"CmPossibility"	""	"Dialect Labels"	""	"tool-config"	"toolConfiguration.xml tool=dialectsListEdit + areaConfiguration.xml ownerClass=LexDb ownerField=DialectLabels"	"ambiguous"
"CmPossibility"	""	"Education Level"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=Education -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Education Levels"	""	"tool-config"	"toolConfiguration.xml tool=educationEdit + areaConfiguration.xml ownerClass=LangProject ownerField=Education"	"ambiguous"
"CmPossibility"	""	"Extended Note Type"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=ExtendedNoteTypes -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Extended Note Types"	""	"tool-config"	"toolConfiguration.xml tool=extNoteTypeEdit + areaConfiguration.xml ownerClass=LexDb ownerField=ExtendedNoteTypes"	"ambiguous"
"CmPossibility"	""	"Genre"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=GenreList -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Genres"	""	"tool-config"	"toolConfiguration.xml tool=genresEdit + areaConfiguration.xml ownerClass=LangProject ownerField=GenreList"	"ambiguous"
"CmPossibility"	""	"Language"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=Languages -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Languages"	""	"tool-config"	"toolConfiguration.xml tool=languagesListEdit + areaConfiguration.xml ownerClass=LexDb ownerField=Languages"	"ambiguous"
"CmPossibility"	""	"List Item"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=CmPossibility"	"ambiguous"
"CmPossibility"	""	"Notebook Record Type"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=RecTypes -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Notebook Record Types"	""	"tool-config"	"toolConfiguration.xml tool=recTypeEdit + areaConfiguration.xml ownerClass=RnResearchNbk ownerField=RecTypes"	"ambiguous"
"CmPossibility"	""	"Position"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=Positions -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Positions"	""	"tool-config"	"toolConfiguration.xml tool=positionsEdit + areaConfiguration.xml ownerClass=LangProject ownerField=Positions"	"ambiguous"
"CmPossibility"	""	"Publication"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=PublicationTypes -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Publications"	""	"tool-config"	"toolConfiguration.xml tool=publicationsEdit + areaConfiguration.xml ownerClass=LexDb ownerField=PublicationTypes"	"ambiguous"
"CmPossibility"	""	"Restriction"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=Restrictions -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Restrictions"	""	"tool-config"	"toolConfiguration.xml tool=restrictionsEdit + areaConfiguration.xml ownerClass=LangProject ownerField=Restrictions"	"ambiguous"
"CmPossibility"	""	"Role"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=Roles -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Roles"	""	"tool-config"	"toolConfiguration.xml tool=roleEdit + areaConfiguration.xml ownerClass=LangProject ownerField=Roles"	"ambiguous"
"CmPossibility"	""	"Sense Type"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=SenseTypes -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Sense Types"	""	"tool-config"	"toolConfiguration.xml tool=senseTypeEdit + areaConfiguration.xml ownerClass=LexDb ownerField=SenseTypes"	"ambiguous"
"CmPossibility"	""	"Status"	""	"strings-en+tool-config"	"toolConfiguration.xml tool=statusEdit + areaConfiguration.xml ownerClass=LangProject ownerField=Status | strings-en.xml, group=PossibilityListItemTypeNames, ownerField=Status -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Text Chart Marker"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=ChartMarkers -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Text Chart Markers"	""	"tool-config"	"toolConfiguration.xml tool=chartmarkEdit + areaConfiguration.xml ownerClass=DsDiscourseData ownerField=ChartMarkers"	"ambiguous"
"CmPossibility"	""	"Text Constituent Chart Template"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=ConstChartTempl -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Text Constituent Chart Templates"	""	"tool-config"	"toolConfiguration.xml tool=charttempEdit + areaConfiguration.xml ownerClass=DsDiscourseData ownerField=ConstChartTempl"	"ambiguous"
"CmPossibility"	""	"Text Markup Tag"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=TextMarkupTags -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Text Markup Tags"	""	"tool-config"	"toolConfiguration.xml tool=textMarkupTagsEdit + areaConfiguration.xml ownerClass=LangProject ownerField=TextMarkupTags"	"ambiguous"
"CmPossibility"	""	"Time Of Day"	""	"strings-en+tool-config"	"toolConfiguration.xml tool=timeOfDayEdit + areaConfiguration.xml ownerClass=LangProject ownerField=TimeOfDay | strings-en.xml, group=PossibilityListItemTypeNames, ownerField=TimeOfDay -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Translation Type"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=TranslationTags -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Translation Types"	""	"tool-config"	"toolConfiguration.xml tool=translationTypeEdit + areaConfiguration.xml ownerClass=LangProject ownerField=TranslationTags"	"ambiguous"
"CmPossibility"	""	"Usage"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=UsageTypes -> CmPossibility"	"ambiguous"
"CmPossibility"	""	"Usages"	""	"tool-config"	"toolConfiguration.xml tool=usageTypeEdit + areaConfiguration.xml ownerClass=LexDb ownerField=UsageTypes"	"ambiguous"
"CmPossibility"	"Abbreviation"	"Abbreviation"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-AbbreviationAllA | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-AbbreviationAllV | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-AbbreviationAllVA | CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-AbbreviationAllAV"	"exact"
"CmPossibility"	"AbbreviationPub"	"Abbreviation"	""	"slice"	"LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishStemSenseType | LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishCdSenseType | LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishStemMinorSenseType | LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishRootSenseType | LexSense.fwlayout, layout class=CmPossibility type=jtview name=publishRootMinorSenseType | +63 more"	"exact"
"CmPossibility"	"Confidence"	"Confidence"	""	"slice"	"CmPossibilityParts.xml, bin class=CmPossibility, part id=CmPossibility-Detail-Confidence"	"exact"
"CmPossibility"	"ConfigureAbbr"	"Item Abbreviation"	""	"slice"	"Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced1 | Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced2 | Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced3 | Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced4 | Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced5"	"exact"
"CmPossibility"	"ConfigureName"	"Item Name"	""	"slice"	"Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced1 | Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced2 | Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced3 | Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced4 | Cellar.fwlayout, layout class=CmPossibility type=jtview name=advanced5"	"exact"
