"Class"	"Field"	"Label"	"Tooltip"	"Source"	"SourceDetail"	"Confidence"
"LexEntry"	"SummaryDefinitionPub"	"Summary Definition"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemComplexFormSummaryDef | +49 more"	"exact"
"LexEntry"	"VariantFormsConfig"	"Variant Forms"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootSubentryPara | +1 more"	"ambiguous"
"LexEntry"	"VariantFormsConfig"	"Variants (of Entry)"	""	"slice"	"Reversal.fwlayout, layout class=LexEntry type=jtview name=publishRIELexEntryVariants"	"ambiguous"
"LexEntry"	"VariantFormsSection"	"Variants"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=detail name=Normal"	"exact"
"LexEntry"	"VariantPronunciationsConfig"	"Variant Pronunciations"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishPronunForStemVariantRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishPronunForStemSenseVariantRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishPronunForCdSenseVariantRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishPronunForStemMinorVariantRef | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishPronunForStemMinorSenseVariantRef | +8 more"	"exact"
"LexEntry"	"VisibleComplexFormBackRefs"	"Referenced Complex Forms"	"Complex forms shown in this field are shown as references in this component entry in Dictionary."	"slice"	"LexEntryParts.xml, bin class=LexEntry, part id=LexEntry-Detail-VisibleComplexFormEntries"	"exact"
"LexEntry"	"VisibleVariantEntryRefsConfig"	"Variant Of"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishStemMinorPara | LexEntry.fwlayout, layout class=LexEntry type=jtview name=publishRootMinorPara"	"exact"
"LexEntryInflType"	"Conditions"	"Subtypes"	""	"slice"	"CmPossibility.fwlayout, layout class=LexEntryInflType type=detail name=EditVariant"	"exact"
"LexEntryInflType"	"GlossAppend"	"Append to Gloss"	""	"slice"	"CmPossibilityParts.xml, bin class=LexEntryInflType, part id=LexEntryInflType-Detail-GlossAppendAllA"	"exact"
"LexEntryInflType"	"GlossPrepend"	"Prepend to Gloss"	""	"slice"	"CmPossibilityParts.xml, bin class=LexEntryInflType, part id=LexEntryInflType-Detail-GlossPrependAllA"	"exact"
"LexEntryInflType"	"InflFeats"	"Inflection Features"	""	"slice"	"CmPossibilityParts.xml, bin class=LexEntryInflType, part id=LexEntryInflType-Detail-InflFeats"	"exact"
"LexEntryInflType"	"Slots"	"Slots"	""	"slice"	"CmPossibilityParts.xml, bin class=LexEntryInflType, part id=LexEntryInflType-Detail-Slots"	"exact"
"LexEntryInflType"	"Summary"	"Irr. Inflected Form"	""	"slice"	"CmPossibility.fwlayout, layout class=LexEntryInflType type=detail name=nestedVariant"	"exact"
"LexEntryRef"	""	"Complex or Variant Entry References"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=LexEntryRef-Plural"	"ambiguous"
"LexEntryRef"	""	"Entry Reference Type"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=LexEntryRef"	"ambiguous"
"LexEntryRef"	"ComplexEntryTypes"	"Complex Form Type"	""	"slice"	"LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-ComplexEntryTypes | LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-RefComplexEntryTypes"	"exact"
"LexEntryRef"	"ComplexFormEntryTypePub"	"Complex Form Type"	""	"slice"	"Reversal.fwlayout, layout class=LexEntryRef type=jtview name=publishSenseComplexFormRefForReversal | Reversal.fwlayout, layout class=LexEntryRef type=jtview name=publishSubSenseComplexFormRefForReversal | Reversal.fwlayout, layout class=LexEntryRef type=jtview name=publishComplexFormRefForReversal"	"exact"
"LexEntryRef"	"ComplexFormExamplesConfig"	"Example Sentences"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemSenseComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishCdSenseComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemMinorComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemMinorSenseComplexFormRef | +6 more"	"exact"
"LexEntryRef"	"ComplexFormGramInfoConfig"	"Grammatical Info."	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemMinorComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootMinorComplexFormRef"	"exact"
"LexEntryRef"	"ComponentHeadwordsConfig"	"Components"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemEntryRefs | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemCd"	"ambiguous"
"LexEntryRef"	"ComponentHeadwordsConfig"	"Primary Entry (all)"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootSubEntryRefs"	"ambiguous"
"LexEntryRef"	"ComponentHeadwordsConfig"	"Primary Entry(s)"	""	"slice"	"Reversal.fwlayout, layout class=LexEntryRef type=jtview name=publishEntryRefsForConfig"	"ambiguous"
"LexEntryRef"	"ComponentHeadwordsConfig"	"Referenced Entries"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemMinorEntryRefs | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootComponentRefs | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootMinorEntryRefs"	"ambiguous"
"LexEntryRef"	"ComponentLexemes"	"Components"	""	"slice"	"LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-ComponentLexemes"	"ambiguous"
"LexEntryRef"	"ComponentLexemes"	"Variant of"	""	"slice"	"LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-ComponentLexemes"	"ambiguous"
"LexEntryRef"	"EntryTypesConfig"	"Complex Form Type"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemEntryRefs | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootComponentRefs | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemCd | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemSenseComplexFormRef | +9 more"	"ambiguous"
"LexEntryRef"	"EntryTypesConfig"	"Type"	""	"slice"	"Reversal.fwlayout, layout class=LexEntryRef type=jtview name=publishEntryRefsForConfig"	"ambiguous"
"LexEntryRef"	"EntryTypesConfig"	"Variant Type"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemMinorEntryRefs | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootMinorEntryRefs"	"ambiguous"
"LexEntryRef"	"EntryTypesConfig"	"Variant/Complex Form Type"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootSubEntryRefs"	"ambiguous"
"LexEntryRef"	"HideMinorEntry"	"Show Minor Entry"	""	"slice"	"LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-RefShowMinorEntry"	"exact"
"LexEntryRef"	"PrimaryHeadwordsConfig"	"Primary Entry (subentry under)"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootSubEntryRefs"	"exact"
"LexEntryRef"	"PrimaryLexemes"	"Show Subentry under"	"The current entry is shown as a subentry under the component entries shown in this field in Dictionary."	"slice"	"LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-PrimaryLexemes"	"exact"
"LexEntryRef"	"PublishAsMinorEntry"	"Show Minor Entry"	"Show this entry as a minor entry in Dictionary."	"slice"	"LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntry-Detail-ShowMinorEntry"	"exact"
"LexEntryRef"	"RootSubEntryType"	"Complex Form Type"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootSubEntryType"	"exact"
"LexEntryRef"	"SubentryUnder"	"Subentry Under"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootComponentRefs"	"ambiguous"
"LexEntryRef"	"SubentryUnder"	"Subentry Under Reference"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootSenseComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootMinorSenseComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootMinorSubSenseComplexFormRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishRootSubSenseComplexFormRef"	"ambiguous"
"LexEntryRef"	"Summary"	"Comment"	""	"slice"	"LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-Summary | LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-RefSummary"	"exact"
"LexEntryRef"	"SummaryPub"	"Comment"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemVariantRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishCd | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemSenseVariantRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishCdSenseVariantRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemMinorVariantRef | +32 more"	"exact"
"LexEntryRef"	"VariantEntryDialectLabels"	"Dialect Labels (Entry)"	""	"slice"	"LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-RefVariantDialectsEntry"	"exact"
"LexEntryRef"	"VariantEntryTypeConfig"	"Variant Type"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemVariantRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishCd | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemSenseVariantRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishCdSenseVariantRef | LexEntry.fwlayout, layout class=LexEntryRef type=jtview name=publishStemMinorVariantRef | +9 more"	"exact"
"LexEntryRef"	"VariantEntryTypePub"	"Type"	""	"slice"	"Reversal.fwlayout, layout class=LexEntryRef type=jtview name=publishVariantRefForReversal | Reversal.fwlayout, layout class=LexEntryRef type=jtview name=publishRIESenseVariant"	"exact"
"LexEntryRef"	"VariantEntryTypes"	"Variant Type"	""	"slice"	"LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-VariantEntryTypes | LexEntryParts.xml, bin class=LexEntryRef, part id=LexEntryRef-Detail-RefVariantEntryTypes"	"exact"
"LexEntryRef"	"VariantPronunciationsConfig"	"Variant Pronunciations"	""	"slice"	"Reversal.fwlayout, layout class=LexEntryRef type=jtview name=publishVariantRefForReversal | Reversal.fwlayout, layout class=LexEntryRef type=jtview name=publishRIESenseVariant"	"exact"
"LexEntryType"	""	"Complex Form Type"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=ComplexEntryTypes -> LexEntryType"	"ambiguous"
"LexEntryType"	""	"Complex Form Types"	""	"tool-config"	"toolConfiguration.xml tool=complexEntryTypeEdit + areaConfiguration.xml ownerClass=LexDb ownerField=ComplexEntryTypes"	"ambiguous"
"LexEntryType"	""	"Entry Type"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=LexEntryType"	"ambiguous"
"LexEntryType"	""	"Variant Type"	""	"strings-en"	"strings-en.xml, group=PossibilityListItemTypeNames, ownerField=VariantEntryTypes -> LexEntryType"	"ambiguous"
"LexEntryType"	""	"Variant Types"	""	"tool-config"	"toolConfiguration.xml tool=variantEntryTypeEdit + areaConfiguration.xml ownerClass=LexDb ownerField=VariantEntryTypes"	"ambiguous"
"LexEntryType"	"AbbreviationPub"	"Abbreviation"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishStemEntryType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishStemMinorEntryType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishRootMinorEntryType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishRootMinorSubEntryType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishRootComponentType | +1 more"	"ambiguous"
"LexEntryType"	"AbbreviationPub"	"Entry Type Abbreviation"	""	"slice"	"Reversal.fwlayout, layout class=LexEntryType type=jtview name=publishAbbreviationForReversal"	"ambiguous"
"LexEntryType"	"Conditions"	"Subtypes"	""	"slice"	"CmPossibility.fwlayout, layout class=LexEntryType type=detail name=EditVariant"	"exact"
"LexEntryType"	"NamePub"	"Name"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishRootSubEntryType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishStemEntryType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishStemMinorEntryType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishRootMinorEntryType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishRootMinorSubEntryType | +27 more"	"exact"
"LexEntryType"	"ReverseAbbr"	"Reverse Abbr."	""	"slice"	"CmPossibilityParts.xml, bin class=LexEntryType, part id=LexEntryType-Detail-ReverseAbbrAllA"	"exact"
"LexEntryType"	"ReverseAbbrPub"	"Abbreviation"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishRootSubEntryType"	"ambiguous"
"LexEntryType"	"ReverseAbbrPub"	"Reverse Abbreviation"	""	"slice"	"LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishStemComplexFormType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishStemSenseComplexFormType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishCdSenseComplexFormType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishStemMinorComplexFormType | LexEntry.fwlayout, layout class=LexEntryType type=jtview name=publishStemMinorSenseComplexFormType | +20 more"	"ambiguous"
"LexEntryType"	"ReverseName"	"Reverse Name"	""	"slice"	"CmPossibilityParts.xml, bin class=LexEntryType, part id=LexEntryType-Detail-ReverseNameAllA"	"exact"
"LexEntryType"	"Subtypes"	"Subtypes"	""	"slice"	"CmPossibility.fwlayout, layout class=LexEntryType type=detail name=EditComplex"	"exact"
"LexEntryType"	"Summary"	"Complex Form Type"	""	"slice"	"CmPossibility.fwlayout, layout class=LexEntryType type=detail name=nestedComplex"	"ambiguous"
"LexEntryType"	"Summary"	"Variant Type"	""	"slice"	"CmPossibility.fwlayout, layout class=LexEntryType type=detail name=nestedVariant"	"ambiguous"
"LexEtymology"	""	"Etymologies"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=LexEtymology-Plural"	"ambiguous"
"LexEtymology"	""	"Etymology"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=LexEtymology"	"ambiguous"
"LexEtymology"	"Bibliography"	"Bibliographic Source"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=detail name=Normal, ref=Bibliography resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexEtymology, part id=LexEtymology-Detail-Bibliography"	"exact"
"LexEtymology"	"BibliographyPub"	"Bibliographic Source"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorSubEtymology | +3 more"	"exact"
"LexEtymology"	"Comment"	"Following Comment"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=detail name=Normal, ref=Comment resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexEtymology, part id=LexEtymology-Detail-Comment"	"exact"
"LexEtymology"	"CommentPub"	"Following Comment"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorSubEtymology | +3 more"	"exact"
"LexEtymology"	"Form"	"Source Form"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=detail name=Normal, ref=Form resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexEtymology, part id=LexEtymology-Detail-Form"	"exact"
"LexEtymology"	"FormPub"	"Source Form"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorSubEtymology | +3 more"	"exact"
"LexEtymology"	"Gloss"	"Gloss"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=detail name=Normal, ref=Gloss resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexEtymology, part id=LexEtymology-Detail-Gloss"	"exact"
"LexEtymology"	"GlossPub"	"Gloss"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorSubEtymology | +3 more"	"exact"
"LexEtymology"	"Language"	"Source Language"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=detail name=Normal, ref=Language resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexEtymology, part id=LexEtymology-Detail-Language"	"exact"
"LexEtymology"	"LanguageNotes"	"Source Language Notes"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=detail name=Normal, ref=LanguageNotes resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexEtymology, part id=LexEtymology-Detail-LanguageNotes"	"exact"
"LexEtymology"	"LanguageNotesPub"	"Source Language Notes"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorSubEtymology | +2 more"	"exact"
"LexEtymology"	"LanguagePub"	"Source Language"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorSubEtymology | +3 more"	"exact"
"LexEtymology"	"Note"	"Etymology Note"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=detail name=Normal, ref=Note resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexEtymology, part id=LexEtymology-Detail-Note"	"exact"
"LexEtymology"	"NotePub"	"Etymology Note"	""	"slice"	"Reversal.fwlayout, layout class=LexEtymology type=jtview name=publishForReversal"	"exact"
"LexEtymology"	"PrecComment"	"Preceding Annotation"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=detail name=Normal, ref=PrecComment resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexEtymology, part id=LexEtymology-Detail-PrecComment"	"exact"
"LexEtymology"	"PrecCommentPub"	"Preceding Annotation"	""	"slice"	"LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishStemMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorEtymology | LexEntry.fwlayout, layout class=LexEtymology type=jtview name=publishRootMinorSubEtymology | +3 more"	"exact"
"LexExampleSentence"	""	"Example"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=LexExampleSentence"	"ambiguous"
"LexExampleSentence"	""	"Examples"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=LexExampleSentence-Plural"	"ambiguous"
"LexExampleSentence"	"$child"	"$label"	""	"slice"	"LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishStem | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishCd | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishRoot"	"exact"
"LexExampleSentence"	"Example"	"Example"	""	"slice"	"LexSense.fwlayout, layout class=LexExampleSentence type=detail name=Normal, ref=ExampleAllV resolved via Parts/*.xml | LexSense.fwlayout, layout class=LexExampleSentence type=detail name=Notes, ref=ExampleAllV resolved via Parts/*.xml | LexSenseParts.xml, bin class=LexExampleSentence, part id=LexExampleSentence-Detail-ExampleAllV"	"exact"
"LexExampleSentence"	"ExamplePub"	"Example"	""	"slice"	"LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publicationNew | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishStem | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishCd | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishStemMinor | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishRoot | +16 more"	"exact"
"LexExampleSentence"	"PublishIn"	"Publish Example In"	"Remove a publication from this field to exclude only this example from that publication."	"slice"	"LexSenseParts.xml, bin class=LexExampleSentence, part id=LexExampleSentence-Detail-PublishIn"	"exact"
"LexExampleSentence"	"Reference"	"Reference"	""	"slice"	"LexSenseParts.xml, bin class=LexExampleSentence, part id=LexExampleSentence-Detail-Reference"	"exact"
"LexExampleSentence"	"ReferencePub"	"Reference"	""	"slice"	"LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishStem | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishCd | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishStemMinor | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishRoot | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishRootMinor | +13 more"	"exact"
"LexExampleSentence"	"TranslationsConfig"	"Translations"	""	"slice"	"LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishStem | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishCd | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishStemMinor | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishRoot | LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publishRootMinor | +15 more"	"exact"
"LexExampleSentence"	"TranslationsPub"	"Translations"	""	"slice"	"LexSense.fwlayout, layout class=LexExampleSentence type=jtview name=publicationNew"	"exact"
"LexExtendedNote"	""	"Extended Note"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=LexExtendedNote"	"ambiguous"
"LexExtendedNote"	""	"Extended Notes"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=LexExtendedNote-Plural"	"ambiguous"
"LexExtendedNote"	"Discussion"	"Discussion"	""	"slice"	"LexSense.fwlayout, layout class=LexExtendedNote type=detail name=Normal, ref=DiscussionAllA resolved via Parts/*.xml | LexSenseParts.xml, bin class=LexExtendedNote, part id=LexExtendedNote-Detail-DiscussionAllA"	"exact"
"LexExtendedNote"	"ExtendedNoteType"	"Type"	""	"slice"	"LexSense.fwlayout, layout class=LexExtendedNote type=detail name=Normal, ref=Type resolved via Parts/*.xml | LexSenseParts.xml, bin class=LexExtendedNote, part id=LexExtendedNote-Detail-Type"	"exact"
"LexPronunciation"	""	"Pronunciation"	""	"strings-en"	"strings-en.xml, group=ClassNames, id=LexPronunciation"	"ambiguous"
"LexPronunciation"	""	"Pronunciations"	""	"strings-en"	"strings-en.xml, group=AlternativeTitles, id=LexPronunciation-Plural"	"ambiguous"
"LexPronunciation"	"CVPattern"	"CV Pattern"	""	"slice"	"LexEntry.fwlayout, layout class=LexPronunciation type=detail name=Normal, ref=CVPattern resolved via Parts/*.xml | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishStemForLexEntry, ref=CVPattern resolved via Parts/*.xml | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishStemMinorForLexEntry, ref=CVPattern resolved via Parts/*.xml | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishRootForLexEntry, ref=CVPattern resolved via Parts/*.xml | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishRootMinorForLexEntry, ref=CVPattern resolved via Parts/*.xml | +19 more"	"ambiguous"
"LexPronunciation"	"CVPattern"	"CVPattern"	""	"slice"	"LexEntryParts.xml, bin class=LexPronunciation, part id=LexPronunciation-Detail-CVPattern"	"ambiguous"
"LexPronunciation"	"Form"	"Pronunciation"	""	"slice"	"LexEntry.fwlayout, layout class=LexPronunciation type=detail name=Normal, ref=FormOnly resolved via Parts/*.xml | LexEntryParts.xml, bin class=LexPronunciation, part id=LexPronunciation-Detail-FormOnly"	"exact"
"LexPronunciation"	"FormPub"	"Pronunciation"	""	"slice"	"LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishStemForLexEntry | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishStemMinorForLexEntry | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishRootForLexEntry | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishRootMinorForLexEntry | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishRootMinorSubForLexEntry | +18 more"	"exact"
"LexPronunciation"	"Location"	"Location"	""	"slice"	"LexEntryParts.xml, bin class=LexPronunciation, part id=LexPronunciation-Detail-Location"	"exact"
"LexPronunciation"	"LocationConfig"	"Location"	""	"slice"	"LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishStemForLexEntry | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishStemMinorForLexEntry | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishRootForLexEntry | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishRootMinorForLexEntry | LexEntry.fwlayout, layout class=LexPronunciation type=jtview name=publishRootMinorSubForLexEntry | +18 more"	"exact"
